grid_id,date,aod_level
"7713,2843",2022-04-01,0.8320839160809095
"7718,2843",2022-04-01,0.7687778358949453
"7723,2843",2022-04-01,0.8199753721510439
"7708,2848",2022-04-01,0.9437043363746941
"7713,2848",2022-04-01,0.8568969278446478
"7718,2848",2022-04-01,0.8298602165691539
"7723,2848",2022-04-01,0.8214590686586
"7728,2848",2022-04-01,0.8936420945307834
"7733,2848",2022-04-01,0.9105829642072344
"7688,2853",2022-04-01,0.9025422328084193
"7693,2853",2022-04-01,0.9134545609605279
"7698,2853",2022-04-01,0.9379325808040883
"7703,2853",2022-04-01,0.9567848295265762
"7708,2853",2022-04-01,0.9193854032924168
"7713,2853",2022-04-01,0.8893068460737851
"7718,2853",2022-04-01,0.8811667581391911
"7723,2853",2022-04-01,0.8748446531418592
"7728,2853",2022-04-01,0.9689394207146153
"7733,2853",2022-04-01,0.9843010474984744
"7683,2858",2022-04-01,0.8728863798409401
"7688,2858",2022-04-01,0.9206806590938342
"7693,2858",2022-04-01,0.9198754288587484
"7698,2858",2022-04-01,0.9764507874313211
"7703,2858",2022-04-01,0.9758642403051689
"7708,2858",2022-04-01,0.9553160476853962
"7713,2858",2022-04-01,0.9169233198950202
"7718,2858",2022-04-01,0.8832616049112424
"7723,2858",2022-04-01,0.9183241467884237
"7728,2858",2022-04-01,0.9559878891429676
"7733,2858",2022-04-01,1.0370685858734778
"7688,2863",2022-04-01,0.9303992652461168
"7693,2863",2022-04-01,0.9468678409966027
"7698,2863",2022-04-01,0.9616319165220321
"7703,2863",2022-04-01,0.9719233010834729
"7708,2863",2022-04-01,0.9610989055303455
"7713,2863",2022-04-01,0.9335872061585763
"7718,2863",2022-04-01,0.8931255568370816
"7723,2863",2022-04-01,0.950645885129812
"7728,2863",2022-04-01,0.9688306387899799
"7733,2863",2022-04-01,1.0411127661122033
"7693,2868",2022-04-01,0.907435880037172
"7698,2868",2022-04-01,0.925661697852894
"7703,2868",2022-04-01,0.9837953972387654
"7708,2868",2022-04-01,0.981844264357409
"7713,2868",2022-04-01,0.985024663550429
"7718,2868",2022-04-01,0.9691645832814905
"7723,2868",2022-04-01,0.96409365256986
"7728,2868",2022-04-01,0.9942851341833696
"7733,2868",2022-04-01,1.0155412627421572
"7693,2873",2022-04-01,0.8530160737347829
"7698,2873",2022-04-01,0.8850272025171461
"7703,2873",2022-04-01,0.9275362017827735
"7708,2873",2022-04-01,0.9492452325693065
"7713,2873",2022-04-01,0.9573122391159211
"7718,2873",2022-04-01,0.9303908353513322
"7723,2873",2022-04-01,0.947490763338756
"7728,2873",2022-04-01,0.965220041659538
"7733,2873",2022-04-01,0.9528892011687045
"7693,2878",2022-04-01,0.816957921343743
"7698,2878",2022-04-01,0.8137030439167379
"7703,2878",2022-04-01,0.8343677166023447
"7708,2878",2022-04-01,0.9060805241229167
"7713,2878",2022-04-01,0.9087780124538205
"7718,2878",2022-04-01,0.882395273207696
"7723,2878",2022-04-01,0.8843794746911474
"7728,2878",2022-04-01,0.9003903211463237
"7693,2883",2022-04-01,0.787937503198961
"7698,2883",2022-04-01,0.7926416272319968
"7703,2883",2022-04-01,0.8182533504620286
"7708,2883",2022-04-01,0.885725097401237
"7713,2883",2022-04-01,0.8762431829764581
"7718,2883",2022-04-01,0.8642475025934705
"7723,2883",2022-04-01,0.8222788369336944
"7703,2888",2022-04-01,0.8057939431869953
"7708,2888",2022-04-01,0.8358431194740787
"7713,2888",2022-04-01,0.8364525649940424
"7718,2888",2022-04-01,0.831014293138801
"7723,2888",2022-04-01,0.7859706742577184
"7713,2843",2022-04-01,1.3110430796928072
"7718,2843",2022-04-01,1.260109646369331
"7723,2843",2022-04-01,1.2284756938484103
"7708,2848",2022-04-01,1.3070883740942827
"7713,2848",2022-04-01,1.307075187579637
"7718,2848",2022-04-01,1.2706326804951507
"7723,2848",2022-04-01,1.2582580500310443
"7728,2848",2022-04-01,1.2594472683233218
"7733,2848",2022-04-01,1.330398914337316
"7688,2853",2022-04-01,1.247720859852735
"7693,2853",2022-04-01,1.2611491125600571
"7698,2853",2022-04-01,1.261071388256603
"7703,2853",2022-04-01,1.2993448137220036
